#下起第一行必须是"type,NTC,", 后续各行是"名称,值,", 直到"###"打头行; 后续各行是表格;"#"打头行为注释行,表头#打头是格式行
type,NTC,
PN,2939-m0299,
model,NTC10000_B3950,
value,10000,
precision,0.01,
X_unit,°C,
Y_unit,ohm,

###下行为格式行
#Tempr.,Rmin,R,Rmax,
-40,258.2,261.2,265.2,
-39,251.6,252.1,256.1,
-38,250.1,254.1,258.1,
-37,236.8,240.8,244.8,
-36,224.0,228.0,232.0,
-35,211.5,215.5,219.5,
-34,199.6,203.6,207.6,
-33,188.1,192.1,196.1,
-32,177.3,181.3,185.3,
-31,167.0,171.0,175.0,
-30,157.2,161.2,165.2,
-29,148.1,152.1,156.1,
-28,139.4,143.4,147.4,
-27,131.3,135.3,139.3,
-26,123.7,127.7,131.7,
-25,116.6,120.6,124.6,
-24,110.0,114.0,118.0,
-23,103.7,107.7,111.7,
-22,97.9,101.9,105.9,
-21,92.50,96.50,100.50,
-20,87.43,91.43,95.43,
-19,82.79,86.79,90.79,
-18,78.44,82.44,86.44,
-17,74.36,78.36,82.36,
-16,70.53,74.53,78.53,
-15,66.92,70.92,74.92,
-14,63.54,67.54,71.54,
-13,60.34,64.34,68.34,
-12,57.33,61.33,65.33,
-11,54.50,58.50,62.50,
-10,51.82,55.82,59.82,
-9,49.28,53.28,57.28,
-8,46.89,50.89,54.89,
-7,44.62,48.62,52.62,
-6,42.48,46.48,50.48,
-5,40.45,44.45,48.45,
-4,38.53,42.53,46.53,
-3,36.70,40.70,44.70,
-2,34.97,38.97,42.97,
-1,33.33,37.33,41.33,
0,31.77,35.77,39.77,
1,30.25,34.25,38.25,
2,28.82,32.82,36.82,
3,27.45,31.45,35.45,
4,26.16,30.16,34.16,
5,24.94,28.94,32.94,
6,23.77,27.77,31.77,
7,22.67,26.67,30.67,
8,21.62,25.62,29.62,
9,20.63,24.63,28.63,
10,19.68,23.68,27.68,
11,18.78,22.78,26.78,
12,17.93,21.93,25.93,
13,17.12,21.12,25.12,
14,16.35,20.35,24.35,
15,15.62,19.62,23.62,
16,14.93,18.93,22.93,
17,14.26,18.26,22.26,
18,13.63,17.63,21.63,
19,13.04,17.04,21.04,
20,12.47,16.47,20.47,
21,11.92,15.92,19.92,
22,11.41,15.41,19.41,
23,10.91,14.91,18.91,
24,10.45,14.45,18.45,
25,10.00,14.00,18.00,
26,9.575,13.575,17.575,
27,9.170,13.170,17.170,
28,8.784,12.784,16.784,
29,8.416,12.416,16.416,
30,8.064,12.064,16.064,
31,7.730,11.730,15.730,
32,7.410,11.410,15.410,
33,7.106,11.106,15.106,
34,6.815,10.815,14.815,
35,6.538,10.538,14.538,
36,6.273,10.273,14.273,
37,6.020,10.020,14.020,
38,5.778,9.778,13.778,
39,5.548,9.548,13.548,
40,5.327,9.327,13.327,
41,5.117,9.117,13.117,
42,4.915,8.915,12.915,
43,4.723,8.723,12.723,
44,4.539,8.539,12.539,
45,4.363,8.363,12.363,
46,4.195,8.195,12.195,
47,4.034,8.034,12.034,
48,3.880,7.880,11.880,
49,3.733,7.733,11.733,
50,3.592,7.592,11.592,
51,3.457,7.457,11.457,
52,3.328,7.328,11.328,
53,3.204,7.204,11.204,
54,3.086,7.086,11.086,
55,2.972,6.972,10.972,
56,2.863,6.863,10.863,
57,2.759,6.759,10.759,
58,2.659,6.659,10.659,
59,2.564,6.564,10.564,
60,2.472,6.472,10.472,
61,2.384,6.384,10.384,
62,2.299,6.299,10.299,
63,2.218,6.218,10.218,
64,2.141,6.141,10.141,
65,2.066,6.066,10.066,
66,1.994,5.994,9.994,
67,1.926,5.926,9.926,
68,1.860,5.860,9.860,
69,1.796,5.796,9.796,
70,1.735,5.735,9.735,
71,1.677,5.677,9.677,
72,1.621,5.621,9.621,
73,1.567,5.567,9.567,
74,1.515,5.515,9.515,
75,1.465,5.465,9.465,
76,1.417,5.417,9.417,
77,1.371,5.371,9.371,
78,1.326,5.326,9.326,
79,1.284,5.284,9.284,
80,1.243,5.243,9.243,
81,1.203,5.203,9.203,
82,1.165,5.165,9.165,
83,1.128,5.128,9.128,
84,1.093,5.093,9.093,
85,1.059,5.059,9.059,
86,1.027,5.027,9.027,
87,0.996,4.996,8.996,
88,0.965,4.965,8.965,
89,0.936,4.936,8.936,
90,0.908,4.908,8.908,
91,0.881,4.881,8.881,
92,0.855,4.855,8.855,
93,0.830,4.830,8.830,
94,0.805,4.805,8.805,
95,0.782,4.782,8.782,
96,0.759,4.759,8.759,
97,0.737,4.737,8.737,
98,0.715,4.715,8.715,
99,0.695,4.695,8.695,
100,0.674,4.674,8.674,
101,0.656,4.656,8.656,
102,0.638,4.638,8.638,
103,0.620,4.620,8.620,
104,0.603,4.603,8.603,
105,0.586,4.586,8.586,
106,0.569,4.569,8.569,
107,0.554,4.554,8.554,
108,0.538,4.538,8.538,
109,0.523,4.523,8.523,
110,0.508,4.508,8.508,
111,0.494,4.494,8.494,
112,0.480,4.480,8.480,
113,0.467,4.467,8.467,
114,0.454,4.454,8.454,
115,0.441,4.441,8.441,
116,0.429,4.429,8.429,
117,0.417,4.417,8.417,
118,0.406,4.406,8.406,
119,0.394,4.394,8.394,
120,0.384,4.384,8.384,
121,0.373,4.373,8.373,
122,0.363,4.363,8.363,
123,0.353,4.353,8.353,
124,0.343,4.343,8.343,
125,0.334,4.334,8.334,
126,0.325,4.325,8.325,
127,0.317,4.317,8.317,
128,0.308,4.308,8.308,
129,0.300,4.300,8.300,
130,0.292,4.292,8.292,
131,0.285,4.285,8.285,
132,0.277,4.277,8.277,
133,0.270,4.270,8.270,
134,0.263,4.263,8.263,
135,0.257,4.257,8.257,
136,0.250,4.250,8.250,
137,0.244,4.244,8.244,
138,0.238,4.238,8.238,
139,0.232,4.232,8.232,
140,0.226,4.226,8.226,
141,0.220,4.220,8.220,
142,0.215,4.215,8.215,
143,0.210,4.210,8.210,
144,0.204,4.204,8.204,
145,0.199,4.199,8.199,
146,0.195,4.195,8.195,
147,0.190,4.190,8.190,
148,0.186,4.186,8.186,
149,0.181,4.181,8.181,
150,0.177,4.177,8.177,
151,0.173,4.173,8.173,
152,0.169,4.169,8.169,
153,0.165,4.165,8.165,
154,0.161,4.161,8.161,
155,0.158,4.158,8.158,
156,0.154,4.154,8.154,
157,0.151,4.151,8.151,
158,0.147,4.147,8.147,
159,0.144,4.144,8.144,
160,0.141,4.141,8.141,
161,0.138,4.138,8.138,
162,0.135,4.135,8.135,
163,0.132,4.132,8.132,
